date,m_count
6/29/2019,25
6/30/2019,115
7/1/2019,364
7/2/2019,182
7/3/2019,374
7/4/2019,401
7/5/2019,258
7/6/2019,419
7/7/2019,8
7/16/2019,1
7/24/2019,216
7/25/2019,510
7/26/2019,524
7/27/2019,534
7/28/2019,53
7/30/2019,152
7/31/2019,436
8/1/2019,60
8/2/2019,218
8/3/2019,393
8/4/2019,76
8/5/2019,506
8/6/2019,375
8/7/2019,239
8/8/2019,344
8/9/2019,96
8/10/2019,329
8/11/2019,598
8/12/2019,427
8/13/2019,399
8/14/2019,216
8/15/2019,149
8/16/2019,422
8/17/2019,700
8/18/2019,711
8/19/2019,376
8/20/2019,388
8/21/2019,519
8/22/2019,310
8/23/2019,481
8/24/2019,672
8/25/2019,556
8/26/2019,576
8/27/2019,309
8/28/2019,284
8/29/2019,1091
8/30/2019,438
8/31/2019,132
9/1/2019,415
9/2/2019,605
9/3/2019,233
9/4/2019,578
9/5/2019,324
9/6/2019,651
9/7/2019,863
9/8/2019,642
9/9/2019,412
9/10/2019,208
9/11/2019,463
9/12/2019,215
9/13/2019,512
9/14/2019,380
9/15/2019,424
9/16/2019,186
9/17/2019,145
9/18/2019,392
9/19/2019,20
9/21/2019,1
9/22/2019,412
9/23/2019,210
9/24/2019,341
9/25/2019,583
9/26/2019,329
9/27/2019,543
9/28/2019,330
9/29/2019,843
9/30/2019,304
10/1/2019,308
10/2/2019,220
10/3/2019,1171
10/4/2019,633
10/5/2019,1153
10/6/2019,746
10/7/2019,101
10/8/2019,304
10/9/2019,348
10/10/2019,569
10/11/2019,339
10/12/2019,1154
10/13/2019,435
10/14/2019,210
10/15/2019,238
10/16/2019,234
10/17/2019,779
10/18/2019,329
10/19/2019,600
10/20/2019,251
10/21/2019,502
10/22/2019,226
10/23/2019,321
10/24/2019,338
10/25/2019,728
10/26/2019,579
10/27/2019,594
10/28/2019,145
10/29/2019,316
10/30/2019,544
10/31/2019,287
11/1/2019,736
11/2/2019,424
11/3/2019,1012
11/4/2019,562
11/5/2019,758
11/6/2019,329
11/7/2019,437
11/8/2019,338
11/9/2019,906
11/10/2019,754
11/11/2019,736
11/12/2019,376
11/13/2019,152
11/14/2019,271
11/15/2019,132
11/16/2019,1
11/17/2019,53
11/18/2019,591
11/19/2019,375
11/20/2019,360
11/21/2019,423
11/22/2019,249
11/23/2019,228
11/24/2019,846
11/25/2019,571
11/26/2019,317
11/27/2019,417
11/28/2019,196
11/29/2019,466
11/30/2019,407
12/1/2019,406
12/2/2019,602
12/3/2019,143
12/4/2019,225
12/5/2019,175
12/6/2019,347
12/7/2019,206
12/8/2019,152
12/9/2019,502
12/10/2019,272
12/11/2019,197
12/12/2019,295
12/13/2019,262
12/14/2019,183
12/15/2019,154
12/16/2019,222
12/17/2019,312
12/18/2019,173
12/19/2019,142
12/20/2019,364
12/21/2019,343
12/22/2019,147
12/23/2019,213
12/24/2019,233
12/25/2019,94
12/26/2019,123
12/27/2019,379
12/28/2019,298
12/29/2019,81
12/30/2019,141
12/31/2019,102
1/1/2020,19
1/2/2020,10
1/3/2020,60
1/4/2020,241
1/5/2020,158
