date,m_count
6/29/2019,25
6/30/2019,115
7/1/2019,364
7/2/2019,182
7/3/2019,374
7/4/2019,401
7/5/2019,258
7/6/2019,419
7/7/2019,8
7/16/2019,1
7/24/2019,216
7/25/2019,510
7/26/2019,524
7/27/2019,534
7/28/2019,53
7/30/2019,152
7/31/2019,436
8/1/2019,60
8/2/2019,218
8/3/2019,393
8/4/2019,76
8/5/2019,506
8/6/2019,375
8/7/2019,239
8/8/2019,344
8/9/2019,96
8/10/2019,329
8/11/2019,598
8/12/2019,427
8/13/2019,399
8/14/2019,216
8/15/2019,149
8/16/2019,422
8/17/2019,700
8/18/2019,711
8/19/2019,376
8/20/2019,388
8/21/2019,519
8/22/2019,310
8/23/2019,481
8/24/2019,672
8/25/2019,556
8/26/2019,576
8/27/2019,309
8/28/2019,284
8/29/2019,1091
8/30/2019,438
8/31/2019,132
9/1/2019,415
9/2/2019,605
9/3/2019,233
9/4/2019,578
9/5/2019,324
9/6/2019,651
9/7/2019,863
9/8/2019,642
9/9/2019,412
9/10/2019,208
9/11/2019,463
9/12/2019,215
9/13/2019,512
9/14/2019,380
9/15/2019,424
9/16/2019,186
9/17/2019,145
9/18/2019,392
9/19/2019,20
9/21/2019,1
9/22/2019,412
9/23/2019,210
9/24/2019,341
9/25/2019,583
9/26/2019,329
9/27/2019,543
9/28/2019,330
9/29/2019,843
9/30/2019,345
10/1/2019,616
10/2/2019,436
10/3/2019,1171
10/4/2019,633
10/5/2019,1153
10/6/2019,746
10/7/2019,101
10/8/2019,304
10/9/2019,348
10/10/2019,569
10/11/2019,339
10/12/2019,1154
10/13/2019,435
10/14/2019,90
