date,w_count
6/30/2019,5
7/1/2019,5
7/2/2019,1
7/3/2019,5
7/4/2019,15
7/5/2019,11
7/6/2019,6
7/24/2019,9
7/25/2019,3
7/26/2019,8
7/27/2019,5
7/28/2019,2
7/30/2019,9
7/31/2019,9
8/1/2019,1
8/2/2019,5
8/3/2019,12
8/4/2019,4
8/5/2019,33
8/6/2019,9
8/7/2019,12
8/8/2019,11
8/9/2019,12
8/10/2019,9
8/11/2019,21
8/12/2019,12
8/13/2019,17
8/14/2019,3
8/15/2019,6
8/16/2019,11
8/17/2019,17
8/18/2019,17
8/19/2019,5
8/20/2019,20
8/21/2019,14
8/22/2019,10
8/23/2019,25
8/24/2019,15
8/25/2019,20
8/26/2019,14
8/27/2019,14
8/28/2019,8
8/29/2019,28
8/30/2019,12
8/31/2019,6
9/1/2019,18
9/2/2019,4
9/3/2019,8
9/4/2019,22
9/5/2019,9
9/6/2019,23
9/7/2019,18
9/8/2019,7
9/9/2019,9
9/10/2019,8
9/11/2019,7
9/12/2019,3
9/13/2019,12
9/14/2019,13
9/15/2019,12
9/16/2019,7
9/17/2019,5
9/18/2019,5
9/22/2019,19
9/23/2019,14
9/24/2019,14
9/25/2019,16
9/26/2019,11
9/27/2019,18
9/28/2019,11
9/29/2019,19
9/30/2019,9
10/1/2019,19
10/2/2019,7
10/3/2019,30
10/4/2019,10
10/5/2019,20
10/6/2019,14
10/7/2019,9
10/8/2019,14
10/9/2019,9
10/10/2019,11
10/11/2019,7
10/12/2019,16
10/13/2019,9
10/14/2019,6
10/15/2019,9
10/16/2019,12
10/17/2019,14
10/18/2019,7
10/19/2019,20
10/20/2019,18
10/21/2019,19
10/22/2019,7
10/23/2019,1
10/24/2019,12
10/25/2019,24
10/26/2019,5
10/27/2019,21
10/28/2019,11
10/29/2019,18
10/30/2019,15
10/31/2019,15
11/1/2019,19
11/2/2019,24
11/3/2019,36
11/4/2019,21
11/5/2019,35
11/6/2019,9
11/7/2019,27
11/8/2019,10
11/9/2019,29
11/10/2019,35
11/11/2019,25
11/12/2019,19
11/13/2019,10
11/14/2019,14
11/15/2019,8
11/17/2019,13
11/18/2019,41
11/19/2019,32
11/20/2019,13
11/21/2019,15
11/22/2019,14
11/23/2019,9
11/24/2019,39
11/25/2019,21
11/26/2019,20
11/27/2019,23
11/28/2019,7
11/29/2019,18
11/30/2019,24
12/1/2019,23
12/2/2019,34
12/3/2019,11
12/4/2019,4
12/5/2019,6
12/6/2019,14
12/7/2019,19
12/8/2019,19
12/9/2019,31
12/10/2019,8
12/11/2019,5
12/12/2019,16
12/13/2019,15
12/14/2019,20
12/15/2019,8
12/16/2019,17
12/17/2019,17
12/18/2019,7
12/19/2019,20
12/20/2019,30
12/21/2019,21
12/22/2019,15
12/23/2019,17
12/24/2019,18
12/25/2019,8
12/26/2019,8
12/27/2019,22
12/28/2019,23
12/29/2019,2
12/30/2019,17
12/31/2019,6
1/1/2020,2
1/2/2020,3
1/3/2020,5
1/4/2020,9
1/5/2020,13
1/6/2020,22
1/7/2020,3
1/8/2020,21
1/9/2020,9
1/10/2020,7
1/11/2020,52
1/12/2020,14
1/13/2020,17
1/14/2020,10
1/15/2020,8
1/16/2020,6
1/17/2020,9
1/20/2020,5
1/21/2020,35
1/22/2020,14
1/23/2020,39
1/24/2020,17
1/25/2020,30
1/26/2020,39
1/27/2020,26
1/28/2020,20
1/29/2020,35
1/30/2020,23
1/31/2020,20
2/1/2020,13
2/2/2020,14
2/3/2020,13
2/4/2020,13
2/5/2020,17
2/6/2020,9
2/7/2020,51
2/8/2020,63
2/9/2020,4
2/10/2020,8
2/11/2020,24
2/12/2020,12
2/13/2020,24
2/14/2020,18
2/15/2020,31
2/16/2020,11
2/17/2020,25
2/18/2020,20
2/19/2020,8
2/20/2020,8
2/21/2020,14
2/22/2020,9
2/23/2020,16
2/24/2020,10
2/25/2020,8
2/26/2020,14
2/27/2020,14
3/2/2020,23
3/3/2020,20
3/4/2020,13
3/5/2020,16
3/8/2020,18
3/9/2020,12
3/10/2020,15
3/11/2020,12
3/12/2020,8
3/13/2020,11
3/14/2020,4
3/15/2020,7
3/16/2020,17
3/24/2020,2
3/25/2020,7
3/26/2020,17
3/27/2020,8
3/28/2020,21
3/29/2020,17
3/30/2020,23
3/31/2020,12
4/1/2020,14
4/2/2020,8
4/3/2020,11
4/4/2020,19
4/5/2020,48
4/6/2020,11
4/7/2020,17
4/8/2020,20
4/9/2020,24
4/10/2020,10
4/11/2020,19
4/12/2020,33
4/13/2020,19
4/14/2020,12
4/15/2020,21
4/16/2020,14
4/17/2020,10
4/18/2020,10
4/19/2020,8
4/20/2020,9
4/21/2020,9
4/22/2020,17
4/23/2020,13
4/24/2020,12
4/25/2020,16
4/26/2020,9
4/27/2020,6
4/28/2020,29
4/29/2020,30
