date,w_count
7/25/2019,13
7/26/2019,2
7/27/2019,1
7/31/2019,1
8/3/2019,2
8/4/2019,4
8/5/2019,1
8/6/2019,2
8/7/2019,2
8/10/2019,9
8/11/2019,9
8/12/2019,1
8/13/2019,14
8/14/2019,5
8/15/2019,2
8/16/2019,1
8/17/2019,20
8/18/2019,8
8/19/2019,1
8/20/2019,8
8/21/2019,2
8/22/2019,2
8/23/2019,9
8/24/2019,1
8/25/2019,1
8/26/2019,1
8/27/2019,5
8/28/2019,2
8/29/2019,12
8/30/2019,1
9/1/2019,5
9/2/2019,1
9/3/2019,5
9/4/2019,14
9/5/2019,4
9/6/2019,2
9/7/2019,18
9/8/2019,1
9/10/2019,1
9/11/2019,8
9/12/2019,4
9/13/2019,3
9/14/2019,13
9/15/2019,7
9/16/2019,2
9/17/2019,2
9/24/2019,4
9/25/2019,2
9/26/2019,7
9/27/2019,10
9/28/2019,1
9/29/2019,7
9/30/2019,6
10/1/2019,5
10/2/2019,2
10/3/2019,14
10/4/2019,11
10/5/2019,6
10/6/2019,13
10/7/2019,4
10/8/2019,1
10/9/2019,1
10/12/2019,20
10/13/2019,2
10/15/2019,2
10/16/2019,1
10/17/2019,1
10/18/2019,5
10/19/2019,7
10/21/2019,4
10/22/2019,5
10/23/2019,1
10/24/2019,3
10/25/2019,16
10/26/2019,11
10/27/2019,30
10/28/2019,3
10/29/2019,6
10/30/2019,7
10/31/2019,11
11/1/2019,11
11/2/2019,13
11/3/2019,24
11/4/2019,10
11/5/2019,11
11/6/2019,2
11/7/2019,15
11/8/2019,2
11/9/2019,2
11/10/2019,4
11/11/2019,13
11/12/2019,6
11/14/2019,4
11/15/2019,1
11/18/2019,5
11/19/2019,2
11/20/2019,1
11/21/2019,6
11/22/2019,2
11/23/2019,3
11/24/2019,16
11/25/2019,9
11/26/2019,2
11/27/2019,3
11/28/2019,14
11/29/2019,2
11/30/2019,3
12/1/2019,4
12/2/2019,3
12/3/2019,3
12/4/2019,16
12/5/2019,2
12/7/2019,3
12/8/2019,2
12/9/2019,9
12/10/2019,1
12/11/2019,4
12/12/2019,3
12/13/2019,7
12/15/2019,1
12/16/2019,2
12/17/2019,2
12/19/2019,1
12/20/2019,10
12/21/2019,10
12/22/2019,4
12/23/2019,2
12/24/2019,1
12/25/2019,1
12/26/2019,2
12/27/2019,11
12/28/2019,5
12/29/2019,2
12/30/2019,4
1/5/2020,3
1/7/2020,1
1/8/2020,2
1/9/2020,1
1/10/2020,7
1/11/2020,26
1/12/2020,3
1/13/2020,7
1/14/2020,4
1/15/2020,3
1/21/2020,4
1/22/2020,11
1/23/2020,6
1/24/2020,2
1/25/2020,16
1/26/2020,15
1/28/2020,2
1/29/2020,3
1/30/2020,15
1/31/2020,3
2/1/2020,30
2/2/2020,4
2/3/2020,2
2/4/2020,1
2/5/2020,14
2/6/2020,1
2/7/2020,10
2/8/2020,10
2/11/2020,3
2/12/2020,17
2/13/2020,14
2/14/2020,2
2/15/2020,17
2/16/2020,10
2/17/2020,5
2/18/2020,2
2/19/2020,2
2/21/2020,1
2/22/2020,6
2/23/2020,8
3/2/2020,1
3/3/2020,1
3/4/2020,12
3/8/2020,1
3/15/2020,3
3/16/2020,1
3/26/2020,2
3/27/2020,1
3/28/2020,7
3/30/2020,7
3/31/2020,16
4/1/2020,5
4/3/2020,15
4/4/2020,9
4/5/2020,17
4/6/2020,1
4/7/2020,13
4/9/2020,4
4/10/2020,2
4/11/2020,17
4/12/2020,14
4/13/2020,5
4/15/2020,18
4/16/2020,3
4/18/2020,1
4/19/2020,1
4/20/2020,1
4/21/2020,1
4/22/2020,40
4/23/2020,1
4/24/2020,14
4/26/2020,5
4/27/2020,15
4/28/2020,34
4/29/2020,20
