timestamp,high,low,humidity,pressure
1576310400,43.5,29.2,0.87,1005.2
1576396800,34.36,27.01,0.72,1017.1
1576483200,36.61,27.73,0.81,1021.2
1576569600,35.06,23.74,0.76,1017.0
1576656000,26.02,10.5,0.72,1022.1
1576742400,31.23,17.06,0.73,1029.3
1576828800,36.27,24.54,0.85,1033.8
1576915200,45.19,28.16,0.83,1029.6
1577001600,49.06,31.03,0.81,1025.5
1577088000,52.02,28.94,0.87,1019.8
1577174400,41.65,28.86,0.93,1020.2
1577260800,55.67,39.02,0.88,1016.1
1577347200,61.71,52.27,0.88,1016.8
1577433600,54.46,32.6,0.85,1021.4
1577520000,44.03,37.27,0.86,1024.5
1577606400,59.91,44.56,0.91,1009.2
1577692800,47.8,31.35,0.84,999.6
1577779200,33.24,26.54,0.84,1005.2
1577865600,38.37,34.24,0.82,1009.8
1577952000,49.38,42.59,0.77,1005.9
1578038400,46.74,35.43,0.9,1008.5
