timestamp,high,low,humidity,pressure
1572220800,82.23,69.57,0.92,1014.9
1572307200,86.79,75.13,0.86,1017.7
1572393600,89.16,73.37,0.84,1018.8
1572480000,89.08,71.88,0.85,1018.3
1572566400,88.3,53.29,0.85,1016.8
1572652800,67.45,58.92,0.69,1021.3
1572739200,66.56,46.87,0.77,1020.2
1572825600,76.55,57.05,0.71,1020.8
1572912000,80.44,66.86,0.8,1020.4
1572998400,80.07,66.21,0.9,1020.4
1573084800,81.86,67.73,0.85,1023.4
1573171200,85.53,66.44,0.85,1020.6
1573257600,69.8,51.03,0.91,1017.7
1573344000,69.95,45.53,0.83,1020.7
1573430400,74.02,48.81,0.73,1022.6
1573516800,79.92,56.12,0.78,1020.5
1573603200,81.14,39.62,0.86,1015.4
1573689600,61.56,51.39,0.76,1022.4
1573776000,72.05,51.63,0.84,1020.1
1573862400,61.51,48.81,0.93,1015.9
1573948800,57.51,42.61,0.87,1016.3
1574035200,61.99,46.32,0.83,1015.4
1574121600,66.93,44.66,0.8,1013.6
1574208000,69.14,43.48,0.76,1015.8
1574294400,71.4,48.19,0.79,1020.8
1574380800,75.23,55.28,0.82,1022.6
1574467200,77.26,59.8,0.85,1021.0
1574553600,72.11,52.32,0.75,1020.1
1574640000,71.88,52.1,0.75,1020.1
1574726400,71.66,51.87,0.75,1020.2
1574812800,71.44,51.66,0.75,1020.3
