timestamp,high,low,humidity,pressure
1562486400,83.88,59.88,0.74,1015.61
1562572800,82.13,58.33,0.62,1017.19
1562659200,86.76,68.75,0.66,1016.77
1562745600,93.18,66.35,0.69,1013.11
1562832000,80.32,54.17,0.7,1012.32
1562918400,81.54,63.8,0.67,1014.76
1563004800,90.88,69.09,0.67,1015.18
1563091200,89.7,69.15,0.63,1018.98
1563177600,90.45,69.71,0.67,1017.53
1563264000,85.04,71.81,0.82,1013.83
1563350400,89.49,72.12,0.79,1012.24
1563436800,85.49,78.05,0.86,1011.58
1563523200,93.54,71.87,0.77,1010.54
1563609600,93.52,71.81,0.77,1012.17
1563696000,85.79,64.12,0.91,1012.72
1563782400,72.98,53.43,0.77,1015.55
