Name,Start,End,Duration,Process
How Data Became a New Medium for Artists - The Atlantic - Google Chrome,9/12/2019 8:27,9/12/2019 8:27,0:00:21,Google Chrome
License,9/12/2019 8:27,9/12/2019 8:28,0:00:10,ManicTime
ManicTime,9/12/2019 8:28,9/12/2019 8:28,0:00:11,ManicTime
ManicTime - STANDARD,9/12/2019 8:28,9/12/2019 8:28,0:00:12,ManicTime
How Data Became a New Medium for Artists - The Atlantic - Google Chrome,9/12/2019 8:28,9/12/2019 8:30,0:01:51,Google Chrome
Data Artists - OneNote,9/12/2019 8:30,9/12/2019 8:30,0:00:07,Microsoft OneNote
How Data Became a New Medium for Artists - The Atlantic - Google Chrome,9/12/2019 8:30,9/12/2019 8:31,0:01:30,Google Chrome
Data Artists - OneNote,9/12/2019 8:31,9/12/2019 8:34,0:02:14,Microsoft OneNote
How Data Became a New Medium for Artists - The Atlantic - Google Chrome,9/12/2019 8:34,9/12/2019 8:35,0:00:52,Google Chrome
Data Artists - OneNote,9/12/2019 8:35,9/12/2019 8:35,0:00:07,Microsoft OneNote
How Data Became a New Medium for Artists - The Atlantic - Google Chrome,9/12/2019 8:35,9/12/2019 8:35,0:00:32,Google Chrome
Data Artists - OneNote,9/12/2019 8:35,9/12/2019 8:35,0:00:15,Microsoft OneNote
How Data Became a New Medium for Artists - The Atlantic - Google Chrome,9/12/2019 8:35,9/12/2019 8:39,0:03:39,Google Chrome
Messenger - Google Chrome,9/12/2019 8:39,9/12/2019 8:39,0:00:22,Google Chrome
FRICKbits - Google Chrome,9/12/2019 8:39,9/12/2019 8:40,0:01:03,Google Chrome
Messenger - Google Chrome,9/12/2019 8:40,9/12/2019 8:41,0:00:13,Google Chrome
How Data Became a New Medium for Artists - The Atlantic - Google Chrome,9/12/2019 8:41,9/12/2019 8:42,0:00:54,Google Chrome
Meet 6 Artists Who Have Swept Data Art into the Digital Age - Google Chrome,9/12/2019 8:42,9/12/2019 8:44,0:02:24,Google Chrome
Data Artists - OneNote,9/12/2019 8:44,9/12/2019 8:45,0:00:53,Microsoft OneNote
Meet 6 Artists Who Have Swept Data Art into the Digital Age - Google Chrome,9/12/2019 8:45,9/12/2019 8:45,0:00:30,Google Chrome
Data Artists - OneNote,9/12/2019 8:45,9/12/2019 8:45,0:00:05,Microsoft OneNote
Meet 6 Artists Who Have Swept Data Art into the Digital Age - Google Chrome,9/12/2019 8:45,9/12/2019 8:46,0:00:06,Google Chrome
artists that use data - Google Search - Google Chrome,9/12/2019 8:46,9/12/2019 8:46,0:00:06,Google Chrome
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:46,9/12/2019 8:46,0:00:24,Google Chrome
Data Artists - OneNote,9/12/2019 8:46,9/12/2019 8:46,0:00:06,Microsoft OneNote
Messenger - Google Chrome,9/12/2019 8:46,9/12/2019 8:47,0:00:28,Google Chrome
"Google Calendar - Week of September 8, 2019 - Google Chrome",9/12/2019 8:47,9/12/2019 8:47,0:00:13,Google Chrome
Chris 1ordan - Books - Google Chrome,9/12/2019 8:47,9/12/2019 8:47,0:00:10,Google Chrome
New Tab - Google Chrome,9/12/2019 8:47,9/12/2019 8:47,0:00:05,Google Chrome
George A. Smathers Libraries - Google Chrome,9/12/2019 8:47,9/12/2019 8:47,0:00:14,Google Chrome
Library Catalog - University of Florida (UF) - Google Chrome,9/12/2019 8:47,9/12/2019 8:47,0:00:08,Google Chrome
Library Catalog - University of Florida (UF) - Google Chrome,9/12/2019 8:47,9/12/2019 8:48,0:00:16,Google Chrome
"Mail - Kozal,Meghan Kathryn - Outlook - Google Chrome",9/12/2019 8:48,9/12/2019 8:48,0:00:09,Google Chrome
"Mail - Kozal,Meghan Kathryn - Outlook - Google Chrome",9/12/2019 8:48,9/12/2019 8:48,0:00:06,Google Chrome
"Mail - Kozal,Meghan Kathryn - Outlook - Google Chrome",9/12/2019 8:48,9/12/2019 8:48,0:00:15,Google Chrome
Messenger - Google Chrome,9/12/2019 8:48,9/12/2019 8:49,0:00:47,Google Chrome
Library Catalog - University of Florida (UF) - Google Chrome,9/12/2019 8:49,9/12/2019 8:49,0:00:08,Google Chrome
George A. Smathers Libraries - Google Chrome,9/12/2019 8:49,9/12/2019 8:49,0:00:06,Google Chrome
"Mail - Kozal,Meghan Kathryn - Outlook - Google Chrome",9/12/2019 8:49,9/12/2019 8:49,0:00:05,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:49,9/12/2019 8:50,0:00:12,Google Chrome
eds.a.ebscohost.com/start?key=10.83.8.64_8000_514605399&site=eds&profid=eds&returnToUrl=%2feds%2fpdfviewer%2fpdfviewer%3fvid%3d1%26sid%3d631c6477-ade1-48de-b39e-5ee0a5439310%2540sdc-v-sessmgr02&vid=1&sid=631c6477-ade1-48de-b39e-5ee0a5439310%40sdc-v-sessmgr02 - Google Chrome,9/12/2019 8:50,9/12/2019 8:50,0:00:05,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:50,9/12/2019 8:50,0:00:09,Google Chrome
Sign in - EBSCO - Google Chrome,9/12/2019 8:50,9/12/2019 8:50,0:00:12,Google Chrome
Sign in - EBSCO - Google Chrome,9/12/2019 8:50,9/12/2019 8:50,0:00:06,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:50,9/12/2019 8:51,0:00:33,Google Chrome
eds.a.ebscohost.com/start?key=10.83.10.81_8000_1767526759&site=eds&profid=eds&returnToUrl=%2feds%2fresults%3fvid%3d0%26sid%3d631c6477-ade1-48de-b39e-5ee0a5439310%2540sdc-v-sessmgr02%26bquery%3dRunning%252Bthe%252BNumbers%25253a%252BAn%252BAmerican%252BSelf-Portrait%26bdata%3d1kF1dGhUeXBlPWlwLHVpZCZ1bGkwPUZUMSZ1bHYwPVkmdHlwZT0w1nNlYX11aE1vZGU9QW5k1nNpdGU9ZWRzLWxpdmU%253d&vid=0&sid=631c6477-ade1-48de-b39e-5ee0a5439310%40sdc-v-sessmgr02 - Google Chrome,9/12/2019 8:51,9/12/2019 8:51,0:00:05,Google Chrome
Sign in - EBSCO - Google Chrome,9/12/2019 8:51,9/12/2019 8:51,0:00:15,Google Chrome
Create Account - Google Chrome,9/12/2019 8:51,9/12/2019 8:52,0:00:37,Google Chrome
Sign in - EBSCO - Google Chrome,9/12/2019 8:52,9/12/2019 8:52,0:00:06,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:52,9/12/2019 8:52,0:00:13,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:52,9/12/2019 8:52,0:00:30,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:52,9/12/2019 8:52,0:00:06,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:52,9/12/2019 8:53,0:00:17,Google Chrome
Messenger - Google Chrome,9/12/2019 8:53,9/12/2019 8:53,0:00:05,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:53,9/12/2019 8:53,0:00:18,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:53,9/12/2019 8:53,0:00:12,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:53,9/12/2019 8:53,0:00:05,Google Chrome
Basic Search: OneSearch - Google Chrome,9/12/2019 8:53,9/12/2019 8:54,0:00:07,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:54,9/12/2019 8:54,0:00:10,Google Chrome
Running the numbers: an American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:54,9/12/2019 8:54,0:00:26,Google Chrome
Adaptive budgeting: thirty-four suggestions for ra... - Google Chrome,9/12/2019 8:54,9/12/2019 8:54,0:00:18,Google Chrome
Basic Search: OneSearch - Google Chrome,9/12/2019 8:54,9/12/2019 8:55,0:00:10,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:55,9/12/2019 8:55,0:00:17,Google Chrome
Chris 1ordan - Books - Google Chrome,9/12/2019 8:55,9/12/2019 8:55,0:00:05,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:55,9/12/2019 8:55,0:00:12,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:55,9/12/2019 8:56,0:00:31,Google Chrome
Chris 1ordan - Books - Google Chrome,9/12/2019 8:56,9/12/2019 8:56,0:00:27,Google Chrome
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:56,9/12/2019 8:57,0:00:55,Google Chrome
For the Right to Remove Personal Information on Search Engines in the U.S. Campaign - #Right2Remove - Google Chrome,9/12/2019 8:57,9/12/2019 8:57,0:00:05,Google Chrome
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:57,9/12/2019 8:57,0:00:15,Google Chrome
Data Artists - OneNote,9/12/2019 8:57,9/12/2019 8:58,0:00:07,Microsoft OneNote
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:58,9/12/2019 8:58,0:00:07,Google Chrome
Windows Explorer,9/12/2019 8:58,9/12/2019 8:58,0:00:05,Windows Explorer
