Name,Start,End,Duration
Active,9/29/2019 12:07,9/29/2019 12:29,0:22:19
Away,9/29/2019 12:29,9/29/2019 12:30,0:00:29
Power off,9/29/2019 12:30,9/29/2019 13:08,0:37:35
Session lock,9/29/2019 13:08,9/29/2019 13:08,0:00:06
Active,9/29/2019 13:08,9/29/2019 14:23,1:15:49
Away,9/29/2019 14:23,9/29/2019 14:35,0:11:12
Active,9/29/2019 14:35,9/29/2019 15:28,0:53:42
Away,9/29/2019 15:28,9/29/2019 15:40,0:11:41
Active,9/29/2019 15:40,9/29/2019 17:25,1:45:15
Away,9/29/2019 17:25,9/29/2019 17:40,0:15:02
Active,9/29/2019 17:40,9/29/2019 17:45,0:05:05
Away,9/29/2019 17:45,9/29/2019 17:57,0:11:08
Active,9/29/2019 17:57,9/29/2019 18:53,0:56:10
Away,9/29/2019 18:53,9/29/2019 19:03,0:10:09
Active,9/29/2019 19:03,9/29/2019 19:07,0:03:53
Active,9/30/2019 8:02,9/30/2019 9:31,1:29:50
Away,9/30/2019 9:31,9/30/2019 9:33,0:01:18
Power off,9/30/2019 9:33,9/30/2019 9:39,0:06:37
Session lock,9/30/2019 9:39,9/30/2019 9:39,0:00:05
Active,9/30/2019 9:39,9/30/2019 10:08,0:28:24
Away,9/30/2019 10:08,9/30/2019 10:09,0:01:10
Power off,9/30/2019 10:09,9/30/2019 10:14,0:04:37
Session lock,9/30/2019 10:14,9/30/2019 10:14,0:00:07
Active,9/30/2019 10:14,9/30/2019 10:23,0:08:51
Away,9/30/2019 10:23,9/30/2019 10:23,0:00:10
Power off,9/30/2019 10:23,9/30/2019 10:49,0:26:23
Active,9/30/2019 10:49,9/30/2019 11:17,0:28:06
Away,9/30/2019 11:17,9/30/2019 11:33,0:15:17
Power off,9/30/2019 11:33,9/30/2019 11:45,0:12:28
Session lock,9/30/2019 11:45,9/30/2019 11:45,0:00:05
Away,9/30/2019 11:45,9/30/2019 11:46,0:00:49
Power off,9/30/2019 11:46,9/30/2019 11:50,0:03:40
Session lock,9/30/2019 11:50,9/30/2019 11:50,0:00:07
Active,9/30/2019 11:50,9/30/2019 11:57,0:07:31
Away,9/30/2019 11:57,9/30/2019 11:58,0:00:33
Power off,9/30/2019 11:58,9/30/2019 13:32,1:34:42
Session lock,9/30/2019 13:32,9/30/2019 13:33,0:00:05
Active,9/30/2019 13:33,9/30/2019 13:41,0:08:53
Power off,9/30/2019 13:41,9/30/2019 14:22,0:40:10
Session lock,9/30/2019 14:22,9/30/2019 14:22,0:00:11
Active,9/30/2019 14:22,9/30/2019 14:24,0:02:11
Away,9/30/2019 14:24,9/30/2019 14:25,0:00:48
Power off,9/30/2019 14:25,9/30/2019 14:27,0:02:20
Session lock,9/30/2019 14:27,9/30/2019 14:27,0:00:05
Active,9/30/2019 14:27,9/30/2019 14:44,0:17:12
Away,9/30/2019 14:44,9/30/2019 14:45,0:00:41
Power off,9/30/2019 14:45,9/30/2019 15:56,1:11:13
Session lock,9/30/2019 15:56,9/30/2019 15:56,0:00:11
Active,9/30/2019 15:56,9/30/2019 16:01,0:05:02
Away,9/30/2019 16:01,9/30/2019 16:12,0:10:43
Active,9/30/2019 16:12,9/30/2019 16:23,0:10:43
Away,9/30/2019 16:23,9/30/2019 16:39,0:16:35
Active,9/30/2019 16:39,9/30/2019 16:49,0:09:33
Away,9/30/2019 16:49,9/30/2019 17:04,0:14:41
