date,count
9/12/2019,41
9/13/2019,106
9/14/2019,170
9/15/2019,203
9/16/2019,68
9/17/2019,186
9/18/2019,122
9/19/2019,148
9/20/2019,
9/21/2019,96
9/22/2019,8
9/23/2019,32
9/24/2019,223
9/25/2019,150
9/26/2019,259
9/27/2019,252
9/28/2019,43
9/29/2019,163
9/30/2019,199
10/1/2019,194
10/2/2019,198
10/3/2019,227
10/4/2019,148
10/5/2019,177
10/6/2019,140
10/7/2019,266
10/8/2019,137
10/9/2019,171
10/10/2019,206
10/11/2019,206
10/12/2019,81
10/13/2019,159
10/14/2019,111
10/15/2019,290
10/16/2019,205
10/17/2019,151
10/18/2019,279
10/19/2019,1
10/20/2019,36
10/21/2019,74
10/22/2019,316
10/23/2019,147
10/24/2019,151
10/25/2019,155
10/26/2019,184
