timestamp,high,low,humidity,pressure
1565683200,92.88,75.43,0.84,1013.39
1565769600,91.43,76.39,0.84,1013.85
1565856000,83.98,74.73,0.92,1014.91
1565942400,76.68,71.94,0.95,1016.05
1566028800,75.41,73.39,0.96,1017.85
1566115200,80.99,73.38,0.93,1019.21
1566201600,84.97,73.23,0.88,1019.15
1566288000,90.72,72.58,0.85,1019.87
1566374400,92.08,73.72,0.79,1019.34
1566460800,92.81,73.1,0.77,1018.11
1566547200,92.77,73.52,0.77,1016.77
1566633600,92.74,75.01,0.78,1015.37
1566720000,89.27,73.21,0.83,1015.24
1566806400,91.38,72.73,0.83,1015.69
1566892800,88.94,73.58,0.9,1015.32
1566979200,91.06,74.26,0.82,1013.55
1567065600,92.78,74.0,0.78,1014.51
1567152000,86.15,75.87,0.87,1015.97
1567238400,90.77,76.64,0.82,1016.5
1567324800,85.73,76.57,0.87,1015.79
1567411200,87.54,76.29,0.86,1012.68
1567497600,86.51,75.49,0.84,1011.04
1567584000,86.97,77.33,0.8,1008.96
1567670400,93.99,75.58,0.71,1011.47
1567756800,93.6,68.89,0.71,1012.2
1567843200,94.95,70.45,0.7,1013.71
1567929600,95.12,71.02,0.73,1016.21
1568016000,94.71,73.05,0.75,1019.41
1568102400,92.8,71.94,0.76,1022.12
1568188800,91.7,72.64,0.78,1021.32
1568275200,89.81,74.11,0.77,1018.39
