Rank,City,Population
1,Jacksonville,903889.00
2,Miami,470914.00
3,Tampa,392890.00
4,Orlando,285713.00
5,St. Petersburg,265098.00
6,Hialeah,238942.00
7,Port St. Lucie,195248.00
8,Tallahassee,193551.00
9,Cape Coral,189343.00
10,Fort Lauderdale,182595.00
11,Pembroke Pines,172374.00
12,Hollywood,154823.00
13,Miramar,140823.00
14,Gainesville,133857.00
15,Coral Springs,133507.00
16,Lehigh Acres,116849.00
17,Clearwater,116478.00
18,Palm Bay,114194.00
19,Brandon,113124.00
20,Miami Gardens,113069.00
21,Pompano Beach,111954.00
22,West Palm Beach,111398.00
23,Lakeland,110516.00
24,Davie,106558.00
25,Spring Hill,104722.00
26,Boca Raton,99244.00
27,Sunrise,95458.00
28,Plantation,94288.00
29,Deltona,91951.00
30,Miami Beach,91718.00
31,Riverview,88191.00
32,Alafaya,88025.00
33,Palm Coast,87607.00
34,Largo,84996.00
35,Town 'n' Country,83879.00
36,Melbourne,82826.00
37,Fort Myers,82254.00
38,Deerfield Beach,80863.00
39,Boynton Beach,78050.00
40,Kendall,75123.00
41,The Villages,74618.00
42,Kissimmee,73597.00
43,Pine Hills,73444.00
44,Lauderhill,72094.00
45,Weston,71210.00
46,Homestead,70477.00
47,Delray Beach,69358.00
48,Daytona Beach,68866.00
49,North Port,68628.00
50,Poinciana,66465.00
51,Tamarac,66054.00
52,Jupiter,65524.00
53,Wellington,65200.00
54,Port Orange,64252.00
55,North Miami,62996.00
56,Doral,61824.00
57,Palm Harbor,61553.00
58,Coconut Creek,61361.00
59,Ocala,60429.00
60,Sanford,60035.00
61,Kendale Lakes,59812.00
62,Port Charlotte,59654.00
63,Fountainebleau,59255.00
64,The Hammocks,58976.00
65,Margate,58656.00
66,Tamiami,58250.00
67,Sarasota,57738.00
68,Bradenton,57644.00
69,Bonita Springs,57370.00
70,Palm Beach Gardens,56284.00
71,St. Cloud,54115.00
72,Apopka,53489.00
73,Wesley Chapel,53414.00
74,Pinellas Park,53098.00
75,Pensacola,52713.00
76,Coral Gables,50999.00
77,Country Club,49207.00
78,Ocoee,47720.00
79,Titusville,46497.00
80,Fort Pierce,46071.00
81,North Miami Beach,45887.00
82,Oakland Park,45339.00
83,Winter Garden,45266.00
84,University,44979.00
85,Cutler Bay,44867.00
86,North Lauderdale,44391.00
87,Altamonte Springs,44241.00
88,Ormond Beach,43475.00
89,Winter Haven,43020.00
90,Oviedo,41557.00
91,Greenacres,41084.00
92,North Fort Myers,40916.00
93,Royal Palm Beach,40018.00
94,Kendall West,39952.00
95,Hallandale Beach,39940.00
96,South Miami Heights,39312.00
97,Plant City,39156.00
98,The Acreage,38845.00
99,Lake Worth,38267.00
100,Aventura,37988.00
101,Valrico,37546.00
102,Four Corners,37439.00
103,Winter Springs,37321.00
104,Egypt Lake-Leto,36964.00
105,Panama City,36908.00
106,Richmond West,36898.00
107,Clermont,36693.00
108,Dunedin,36580.00
109,Merritt Island,36380.00
110,Lauderdale Lakes,36324.00
111,Land O' Lakes,35995.00
112,Cooper City,35853.00
113,University CDP,35642.00
114,Riviera Beach,34834.00
115,Carrollwood,34747.00
116,Navarre,34085.00
117,Golden Glades,34062.00
118,Meadow Woods,33688.00
119,Parkland,33631.00
120,Buenaventura Lakes,33598.00
121,Ferry Pass and DeLand,33532.00
122,Estero,33474.00
123,West Little River,32433.00
124,Dania Beach,32271.00
125,East Lake,32248.00
126,Fruit Cove,31873.00
127,Miami Lakes,31628.00
128,Winter Park,31059.00
129,Lakeside,30983.00
130,Westchester,30516.00
131,Golden Gate,29841.00
132,Lake Magdalene,29184.00
133,Fleming Island,29163.00
134,Casselberry,28876.00
135,Princeton,28201.00
136,Rockledge,27715.00
137,Leisure City,27389.00
138,New Smyrna Beach,27229.00
139,East Lake-Orient Park,26989.00
140,University Park,26565.00
141,Temple Terrace,26471.00
142,Oakleaf Plantation,26315.00
143,Bayonet Point,26126.00
144,Citrus Park,25994.00
145,Sebastian,25719.00
146,Immokalee,25686.00
147,Tarpon Springs,25571.00
148,Horizon West,25365.00
149,Haines City,25091.00
150,Palm Springs,25061.00
151,South Bradenton,24935.00
152,Coral Terrace,24723.00
153,Crestview,24664.00
154,Palmetto Bay,24589.00
155,Key West,24565.00
156,Palm City,24537.00
157,Oak Ridge,24368.00
158,Keystone,24236.00
159,Hialeah Gardens,24043.00
160,Vero Beach South,24029.00
161,Jacksonville Beach,23669.00
162,Palm River-Clair Mel,23484.00
163,Bloomingdale,23395.00
164,Venice,23376.00
165,West Melbourne,23372.00
166,Wekiwa Springs,23359.00
167,Wright,23348.00
168,Westchase,23287.00
169,Leesburg,23163.00
170,The Crossings,23062.00
171,Hunters Creek,22999.00
172,Brent,22761.00
173,Edgewater,22669.00
174,Northdale,22558.00
175,Ives Estates,22460.00
176,Sunny Isles Beach,22295.00
177,Fort Walton Beach,22284.00
178,Pace,22232.00
179,Ruskin,22162.00
180,Naples,22039.00
181,Sun City Center,21986.00
182,Ensley,21922.00
183,Bellview,21655.00
184,Sweetwater,21543.00
185,Lynn Haven,21492.00
186,Lutz,21448.00
187,DeBary,21118.00
188,Eustis,21083.00
189,Lealman,20755.00
190,Holiday,20745.00
191,Palm Valley,20672.00
192,Jasmine Estates,20465.00
193,West Pensacola,20314.00
194,Belle Glade,20058.00
195,Punta Gorda,20057.00
196,Bayshore Gardens,20047.00
197,Bartow,19926.00
198,Pinecrest,19591.00
199,Lake Butler,19575.00
200,Florida Ridge,19362.00
201,Seminole,18866.00
202,Cocoa,18619.00
203,Gibsonton,18273.00
204,Midway CDP,18070.00
205,Safety Harbor,18031.00
206,Maitland,17947.00
207,Marco Island,17930.00
208,Apollo Beach,17929.00
209,Ojus,17727.00
210,Fish Hawk,17698.00
211,San Carlos Park,17597.00
212,Glenvar Heights,17560.00
213,Tavares,17472.00
214,Lake Mary,17283.00
215,Vero Beach,17236.00
216,Myrtle Grove,16839.00
217,Brownsville,16615.00
218,Country Walk,16601.00
219,Lake Wales,16577.00
220,New Port Richey,16494.00
221,Sarasota Springs,16386.00
222,Opa-locka,16356.00
223,Stuart,16293.00
224,Auburndale,16291.00
225,Three Lakes,16266.00
226,Upper Grand Lagoon,16094.00
227,Palmetto Estates,15998.00
228,Pinewood,15975.00
229,Sunset,15875.00
230,Southchase,15764.00
231,West Lealman,15756.00
232,Lady Lake,15622.00
233,Niceville,15579.00
234,Zephyrhills,15563.00
235,Callaway,15216.00
236,Englewood,15169.00
237,Longwood,15124.00
238,West Park,15113.00
239,World Golf Village,15025.00
240,Oldsmar,14841.00
241,Bellair-Meadowbrook Terrace,14830.00
242,Forest City,14702.00
243,Azalea Park,14701.00
244,Groveland,14677.00
245,St. Augustine,14576.00
246,South Venice,14535.00
247,Gonzalez,14490.00
248,Iona,14349.00
249,Olympia Heights,14345.00
250,Miami Springs,14315.00
251,Hobe Sound,14301.00
252,Mount Dora,14216.00
253,Destin,14077.00
254,Lockhart,14027.00
255,Conway,14023.00
256,Atlantic Beach,13831.00
257,Thonotosassa,13743.00
258,Palmetto,13717.00
259,East Milton,13583.00
260,Warrington,13569.00
261,Fruitville,13541.00
262,Gladeview,13539.00
263,Jensen Beach,13438.00
264,Middleburg,13316.00
265,Elfers,13291.00
266,Homosassa Springs,13217.00
267,Key Biscayne,13149.00
268,North Palm Beach,13129.00
269,Panama City Beach,13065.00
270,South Daytona,13054.00
271,Wilton Manors,12797.00
272,Goldenrod,12634.00
273,Fernandina Beach,12558.00
274,Cypress Lake,12505.00
275,Hudson,12477.00
276,Gulfport,12401.00
277,Lakeland Highlands,12345.00
278,Holly Hill,12316.00
279,Westwood Lakes,12273.00
280,Pine Castle,12270.00
281,Yulee,12244.00
282,South Miami,12219.00
