Rank	City	Population
1	Jacksonville	903,889
2	Miami	470,914
3	Tampa	392,890
4	Orlando	285,713
5	St. Petersburg	265,098
6	Hialeah	238,942
7	Port St. Lucie	195,248
8	Tallahassee	193,551
9	Cape Coral	189,343
10	Fort Lauderdale	182,595
11	Pembroke Pines	172,374
12	Hollywood	154,823
13	Miramar	140,823
14	Gainesville	133,857
15	Coral Springs	133,507
16	Lehigh Acres	116,849
17	Clearwater	116,478
18	Palm Bay	114,194
19	Brandon	113,124
20	Miami Gardens	113,069
21	Pompano Beach	111,954
22	West Palm Beach	111,398
23	Lakeland	110,516
24	Davie	106,558
25	Spring Hill	104,722
26	Boca Raton	99,244
27	Sunrise	95,458
28	Plantation	94,288
29	Deltona	91,951
30	Miami Beach	91,718
31	Riverview	88,191
32	Alafaya	88,025
33	Palm Coast	87,607
34	Largo	84,996
35	Town 'n' Country	83,879
36	Melbourne	82,826
37	Fort Myers	82,254
38	Deerfield Beach	80,863
39	Boynton Beach	78,050
40	Kendall	75,123
41	The Villages	74,618
42	Kissimmee	73,597
43	Pine Hills	73,444
44	Lauderhill	72,094
45	Weston	71,210
46	Homestead	70,477
47	Delray Beach	69,358
48	Daytona Beach	68,866
49	North Port	68,628
50	Poinciana	66,465
51	Tamarac	66,054
52	Jupiter	65,524
53	Wellington	65,200
54	Port Orange	64,252
55	North Miami	62,996
56	Doral	61,824
57	Palm Harbor	61,553
58	Coconut Creek	61,361
59	Ocala	60,429
60	Sanford	60,035
61	Kendale Lakes	59,812
62	Port Charlotte	59,654
63	Fountainebleau	59,255
64	The Hammocks	58,976
65	Margate	58,656
66	Tamiami	58,250
67	Sarasota	57,738
68	Bradenton	57,644
69	Bonita Springs	57,370
70	Palm Beach Gardens	56,284
71	St. Cloud	54,115
72	Apopka	53,489
73	Wesley Chapel	53,414
74	Pinellas Park	53,098
75	Pensacola	52,713
76	Coral Gables	50,999
77	Country Club	49,207
78	Ocoee	47,720
79	Titusville	46,497
80	Fort Pierce	46,071
81	North Miami Beach	45,887
82	Oakland Park	45,339
83	Winter Garden	45,266
84	University	44,979
85	Cutler Bay	44,867
86	North Lauderdale	44,391
87	Altamonte Springs	44,241
88	Ormond Beach	43,475
89	Winter Haven	43,020
90	Oviedo	41,557
91	Greenacres	41,084
92	North Fort Myers	40,916
93	Royal Palm Beach	40,018
94	Kendall West	39,952
95	Hallandale Beach	39,940
96	South Miami Heights	39,312
97	Plant City	39,156
98	The Acreage	38,845
99	Lake Worth	38,267
100	Aventura	37,988
101	Valrico	37,546
102	Four Corners	37,439
103	Winter Springs	37,321
104	Egypt Lake-Leto	36,964
105	Panama City	36,908
106	Richmond West	36,898
107	Clermont	36,693
108	Dunedin	36,580
109	Merritt Island	36,380
110	Lauderdale Lakes	36,324
111	Land O' Lakes	35,995
112	Cooper City	35,853
113	University CDP	35,642
114	Riviera Beach	34,834
115	Carrollwood	34,747
116	Navarre	34,085
117	Golden Glades	34,062
118	Meadow Woods	33,688
119	Parkland	33,631
120	Buenaventura Lakes	33,598
121	Ferry Pass and DeLand	33,532
122	Estero	33,474
123	West Little River	32,433
124	Dania Beach	32,271
125	East Lake	32,248
126	Fruit Cove	31,873
127	Miami Lakes	31,628
128	Winter Park	31,059
129	Lakeside	30,983
130	Westchester	30,516
131	Golden Gate	29,841
132	Lake Magdalene	29,184
133	Fleming Island	29,163
134	Casselberry	28,876
135	Princeton	28,201
136	Rockledge	27,715
137	Leisure City	27,389
138	New Smyrna Beach	27,229
139	East Lake-Orient Park	26,989
140	University Park	26,565
141	Temple Terrace	26,471
142	Oakleaf Plantation	26,315
143	Bayonet Point	26,126
144	Citrus Park	25,994
145	Sebastian	25,719
146	Immokalee	25,686
147	Tarpon Springs	25,571
148	Horizon West	25,365
149	Haines City	25,091
150	Palm Springs	25,061
151	South Bradenton	24,935
152	Coral Terrace	24,723
153	Crestview	24,664
154	Palmetto Bay	24,589
155	Key West	24,565
156	Palm City	24,537
157	Oak Ridge	24,368
158	Keystone	24,236
159	Hialeah Gardens	24,043
160	Vero Beach South	24,029
161	Jacksonville Beach	23,669
162	Palm River-Clair Mel	23,484
163	Bloomingdale	23,395
164	Venice	23,376
165	West Melbourne	23,372
166	Wekiwa Springs	23,359
167	Wright	23,348
168	Westchase	23,287
169	Leesburg	23,163
170	The Crossings	23,062
171	Hunters Creek	22,999
172	Brent	22,761
173	Edgewater	22,669
174	Northdale	22,558
175	Ives Estates	22,460
176	Sunny Isles Beach	22,295
177	Fort Walton Beach	22,284
178	Pace	22,232
179	Ruskin	22,162
180	Naples	22,039
181	Sun City Center	21,986
182	Ensley	21,922
183	Bellview	21,655
184	Sweetwater	21,543
185	Lynn Haven	21,492
186	Lutz	21,448
187	DeBary	21,118
188	Eustis	21,083
189	Lealman	20,755
190	Holiday	20,745
191	Palm Valley	20,672
192	Jasmine Estates	20,465
193	West Pensacola	20,314
194	Belle Glade	20,058
195	Punta Gorda	20,057
196	Bayshore Gardens	20,047
197	Bartow	19,926
198	Pinecrest	19,591
199	Lake Butler	19,575
200	Florida Ridge	19,362
201	Seminole	18,866
202	Cocoa	18,619
203	Gibsonton	18,273
204	Midway CDP	18,070
205	Safety Harbor	18,031
206	Maitland	17,947
207	Marco Island	17,930
208	Apollo Beach	17,929
209	Ojus	17,727
210	Fish Hawk	17,698
211	San Carlos Park	17,597
212	Glenvar Heights	17,560
213	Tavares	17,472
214	Lake Mary	17,283
215	Vero Beach	17,236
216	Myrtle Grove	16,839
217	Brownsville	16,615
218	Country Walk	16,601
219	Lake Wales	16,577
220	New Port Richey	16,494
221	Sarasota Springs	16,386
222	Opa-locka	16,356
223	Stuart	16,293
224	Auburndale	16,291
225	Three Lakes	16,266
226	Upper Grand Lagoon	16,094
227	Palmetto Estates	15,998
228	Pinewood	15,975
229	Sunset	15,875
230	Southchase	15,764
231	West Lealman	15,756
